COD_CENTRO,NOMBRE,TIPO_CENTRO,CENTRO_PADRE
121305,VILLA ALEGRE,CESFAM,
121306,SANTA ROSA,CESFAM,
121307,AMANECER,CESFAM,
121309,PUEBLO NUEVO,CESFAM,
121347,PEDRO DE VALDIVIA,CESFAM,
121350,LABRANZA,CESFAM,
121352,M. VALECH,CESFAM,
121780,EL SALAR,CESCOF,
121782,ARQUENCO,CESCOF,
121788,LAS QUILAS,CESCOF,
200183,EL CARMEN,CESFAM,
121460,COLLIMALLIN,PSR,121352
121463,CONOCO,PSR,121352
